"p","a","b","x"
-1.66,0,0,0
-1.65,-2,-0.1,-0.06566028241978515
-1.65,2,-0.1,-0.05661143059301011
-1.65,0,-0.1,-0.06047203744420651
-1.65,-2,0.1,0.05661143059301011
-1.65,2,0.1,0.06566028241978515
-1.65,0,0.1,0.06047203744420651
-1.65,-2,0,0
-1.65,2,0,0
-1.65,0,0,0
-1.6400000000000001,-2,-0.1,-0.06613284864436086
-1.6400000000000001,2,-0.1,-0.05691308232655523
-1.6400000000000001,0,-0.1,-0.06083830440701951
-1.6400000000000001,-2,0.1,0.05691308232655523
-1.6400000000000001,2,0.1,0.06613284864436086
-1.6400000000000001,0,0.1,0.06083830440701951
-1.6400000000000001,-2,0,0
-1.6400000000000001,2,0,0
-1.6400000000000001,0,0,0
-1.63,-2,-0.1,-0.06661286361823868
-1.63,2,-0.1,-0.05721775114642969
-1.63,0,-0.1,-0.061209004831864616
-1.63,-2,0.1,0.05721775114642969
-1.63,2,0.1,0.06661286361823868
-1.63,0,0.1,0.061209004831864616
-1.63,-2,0,0
-1.63,2,0,0
-1.63,0,0,0
-1.62,-2,-0.1,-0.06710051885263565
-1.62,2,-0.1,-0.05752547918537872
-1.62,0,-0.1,-0.06158421895331273
-1.62,-2,0.1,0.05752547918537872
-1.62,2,0.1,0.06710051885263565
-1.62,0,0.1,0.06158421895331273
-1.62,-2,0,0
-1.62,2,0,0
-1.62,0,0,0
-1.6099999999999999,-2,-0.1,-0.06759601292364578
-1.6099999999999999,2,-0.1,-0.05783630929393514
-1.6099999999999999,0,-0.1,-0.061964028930281884
-1.6099999999999999,-2,0.1,0.05783630929393514
-1.6099999999999999,2,0.1,0.06759601292364578
-1.6099999999999999,0,0.1,0.061964028930281884
-1.6099999999999999,-2,0,0
-1.6099999999999999,2,0,0
-1.6099999999999999,0,0,0
-1.6,-2,-0.1,-0.06809955181894212
-1.6,2,-0.1,-0.058150285053904426
-1.6,0,-0.1,-0.06234851890319136
-1.6,-2,0.1,0.058150285053904426
-1.6,2,0.1,0.06809955181894212
-1.6,0,0.1,0.06234851890319136
-1.6,-2,0,0
-1.6,2,0,0
-1.6,0,0,0
-1.5899999999999999,-2,-0.1,-0.06861134930599236
-1.5899999999999999,2,-0.1,-0.058467450792093895
-1.5899999999999999,0,-0.1,-0.06273777505312587
-1.5899999999999999,-2,0.1,0.058467450792093895
-1.5899999999999999,2,0.1,0.06861134930599236
-1.5899999999999999,0,0.1,0.06273777505312587
-1.5899999999999999,-2,0,0
-1.5899999999999999,2,0,0
-1.5899999999999999,0,0,0
-1.58,-2,-0.1,-0.06913162732341482
-1.58,2,-0.1,-0.058787851594288246
-1.58,0,-0.1,-0.06313188566308993
-1.58,-2,0.1,0.058787851594288246
-1.58,2,0.1,0.06913162732341482
-1.58,0,0.1,0.06313188566308993
-1.58,-2,0,0
-1.58,2,0,0
-1.58,0,0,0
-1.57,-2,-0.1,-0.06966061639724994
-1.57,2,-0.1,-0.05911153331947452
-1.57,0,-0.1,-0.06353094118143782
-1.57,-2,0.1,0.05911153331947452
-1.57,2,0.1,0.06966061639724994
-1.57,0,0.1,0.06353094118143782
-1.57,-2,0,0
-1.57,2,0,0
-1.57,0,0,0
-1.56,-2,-0.1,-0.0701985560840814
-1.56,2,-0.1,-0.05943854261431828
-1.56,0,-0.1,-0.06393503428756678
-1.56,-2,0.1,0.05943854261431828
-1.56,2,0.1,0.0701985560840814
-1.56,0,0.1,0.06393503428756678
-1.56,-2,0,0
-1.56,2,0,0
-1.56,0,0,0
-1.55,-2,-0.1,-0.07074569544312244
-1.55,2,-0.1,-0.05976892692789379
-1.55,0,-0.1,-0.06434425995996604
-1.55,-2,0.1,0.05976892692789379
-1.55,2,0.1,0.07074569544312244
-1.55,0,0.1,0.06434425995996604
-1.55,-2,0,0
-1.55,2,0,0
-1.55,0,0,0
-1.54,-2,-0.1,-0.07130229353957826
-1.54,2,-0.1,-0.060102734526670115
-1.54,0,-0.1,-0.06475871554671815
-1.54,-2,0.1,0.060102734526670115
-1.54,2,0.1,0.07130229353957826
-1.54,0,0.1,0.06475871554671815
-1.54,-2,0,0
-1.54,2,0,0
-1.54,0,0,0
-1.53,-2,-0.1,-0.07186861998181616
-1.53,2,-0.1,-0.06044001450975495
-1.53,0,-0.1,-0.06517850083855341
-1.53,-2,0.1,0.06044001450975495
-1.53,2,0.1,0.07186861998181616
-1.53,0,0.1,0.06517850083855341
-1.53,-2,0,0
-1.53,2,0,0
-1.53,0,0,0
-1.52,-2,-0.1,-0.07244495549511826
-1.52,2,-0.1,-0.060780816824398384
-1.52,0,-0.1,-0.06560371814456284
-1.52,-2,0.1,0.060780816824398384
-1.52,2,0.1,0.07244495549511826
-1.52,0,0.1,0.06560371814456284
-1.52,-2,0,0
-1.52,2,0,0
-1.52,0,0,0
-1.51,-2,-0.1,-0.07303159253506211
-1.51,2,-0.1,-0.061125192281757765
-1.51,0,-0.1,-0.06603447237068001
-1.51,-2,0.1,0.061125192281757765
-1.51,2,0.1,0.07303159253506211
-1.51,0,0.1,0.06603447237068001
-1.51,-2,0,0
-1.51,2,0,0
-1.51,0,0,0
-1.5,-2,-0.1,-0.07362883594387687
-1.5,2,-0.1,-0.0614731925729252
-1.5,0,-0.1,-0.06647087110104707
-1.5,-2,0.1,0.0614731925729252
-1.5,2,0.1,0.07362883594387687
-1.5,0,0.1,0.06647087110104707
-1.5,-2,0,0
-1.5,2,0,0
-1.5,0,0,0
-1.49,-2,-0.1,-0.07423700365345845
-1.49,2,-0.1,-0.06182487028521899
-1.49,0,-0.1,-0.0669130246823855
-1.49,-2,0.1,0.06182487028521899
-1.49,2,0.1,0.07423700365345845
-1.49,0,0.1,0.0669130246823855
-1.49,-2,0,0
-1.49,2,0,0
-1.49,0,0,0
-1.48,-2,-0.1,-0.07485642743910342
-1.48,2,-0.1,-0.06218027891873958
-1.48,0,-0.1,-0.06736104631149786
-1.48,-2,0.1,0.06218027891873958
-1.48,2,0.1,0.07485642743910342
-1.48,0,0.1,0.06736104631149786
-1.48,-2,0,0
-1.48,2,0,0
-1.48,0,0,0
-1.47,-2,-0.1,-0.07548745372844184
-1.47,2,-0.1,-0.06253947290319094
-1.47,0,-0.1,-0.06781505212603256
-1.47,-2,0.1,0.06253947290319094
-1.47,2,0.1,0.07548745372844184
-1.47,0,0.1,0.06781505212603256
-1.47,-2,0,0
-1.47,2,0,0
-1.47,0,0,0
-1.46,-2,-0.1,-0.07613044447052053
-1.46,2,-0.1,-0.06290250761496749
-1.46,0,-0.1,-0.06827516129864974
-1.46,-2,0.1,0.06290250761496749
-1.46,2,0.1,0.07613044447052053
-1.46,0,0.1,0.06827516129864974
-1.46,-2,0,0
-1.46,2,0,0
-1.46,0,0,0
-1.45,-2,-0.1,-0.07678577807051805
-1.45,2,-0.1,-0.06326943939450666
-1.45,0,-0.1,-0.06874149613473278
-1.45,-2,0.1,0.06326943939450666
-1.45,2,0.1,0.07678577807051805
-1.45,0,0.1,0.06874149613473278
-1.45,-2,0,0
-1.45,2,0,0
-1.45,0,0,0
-1.44,-2,-0.1,-0.07745385039616726
-1.44,2,-0.1,-0.06364032556390678
-1.44,0,-0.1,-0.0692141821737969
-1.44,-2,0.1,0.06364032556390678
-1.44,2,0.1,0.07745385039616726
-1.44,0,0.1,0.0692141821737969
-1.44,-2,0,0
-1.44,2,0,0
-1.44,0,0,0
-1.43,-2,-0.1,-0.078135075862633
-1.43,2,-0.1,-0.06401522444480945
-1.43,0,-0.1,-0.06969334829475304
-1.43,-2,0.1,0.06401522444480945
-1.43,2,0.1,0.078135075862633
-1.43,0,0.1,0.06969334829475304
-1.43,-2,0,0
-1.43,2,0,0
-1.43,0,0,0
-1.42,-2,-0.1,-0.07882988860334912
-1.42,2,-0.1,-0.06439419537654546
-1.42,0,-0.1,-0.07017912682519298
-1.42,-2,0.1,0.06439419537654546
-1.42,2,0.1,0.07882988860334912
-1.42,0,0.1,0.07017912682519298
-1.42,-2,0,0
-1.42,2,0,0
-1.42,0,0,0
-1.4100000000000001,-2,-0.1,-0.07953874373517607
-1.4100000000000001,2,-0.1,-0.06477729873454252
-1.4100000000000001,0,-0.1,-0.07067165365486894
-1.4100000000000001,-2,0.1,0.06477729873454252
-1.4100000000000001,2,0.1,0.07953874373517607
-1.4100000000000001,0,0.1,0.07067165365486894
-1.4100000000000001,-2,0,0
-1.4100000000000001,2,0,0
-1.4100000000000001,0,0,0
-1.4,-2,-0.1,-0.08026211872721126
-1.4,2,-0.1,-0.06516459594899296
-1.4,0,-0.1,-0.07117106835354985
-1.4,-2,0.1,0.06516459594899296
-1.4,2,0.1,0.08026211872721126
-1.4,0,0.1,0.07117106835354985
-1.4,-2,0,0
-1.4,2,0,0
-1.4,0,0,0
-1.3900000000000001,-2,-0.1,-0.08100051488368684
-1.3900000000000001,2,-0.1,-0.06555614952377883
-1.3900000000000001,0,-0.1,-0.07167751429344404
-1.3900000000000001,-2,0.1,0.06555614952377883
-1.3900000000000001,2,0.1,0.08100051488368684
-1.3900000000000001,0,0.1,0.07167751429344404
-1.3900000000000001,-2,0,0
